0,6470602
1,3687759
2,8871000
3,8968845
4,1301284
5,3052605
6,8050732
7,1744356
8,2359073
9,59013
10,5825423
11,2627485
12,4400542
13,10278915
14,10793801
15,76252
16,10219480
17,1808028
18,748374
19,128147
20,4061217
21,2045273
22,10265910
23,5839068
24,6606202
25,3302296
26,363472
27,8864101
28,10215174
29,775665
30,57088
31,10751912
32,6455484
33,425443
34,10650946
35,1794108
36,4098838
37,7758812
38,10154922
39,3980901
40,6585582
41,8244901
42,5843502
43,567612
44,68748
45,7125755
46,4995015
47,10760997
48,329703
49,1488651
50,5202817
51,11034602
52,10411194
53,12083305
54,5211719
55,2070138
56,10736506
57,2022524
58,2825660
59,6485111
60,26271
61,5288029
62,10806091
63,1801465
64,97900
65,4505484
66,8581436
67,5218519
68,4043049
69,8200580
70,5496527
71,7346263
72,4173139
73,1801813
74,5861390
75,6039049
76,11016809
77,1381644
78,5180333
79,5105110
80,10381252
81,1443712
82,30155
83,5301785
84,10043870
85,199915
86,232556
87,5828449
88,10328530
89,84409
90,3143830
91,10632328
92,197467
93,9229000
94,3882616
95,2019957
96,2937263
97,2177579
98,8031789
99,7131470
100,2503450
101,13977660
102,2326051
103,2816636
104,2934230
106,2526
107,1806130
108,3141160
109,1166131
110,6839045
111,2079372
112,611093
113,547921
114,1729020
115,3994643
116,1556444
117,5097398
119,229865
120,10515933
121,65293
122,10576509
123,9002618
124,320960
125,10725245
126,5275750
127,10453156
128,102350
129,3984303
130,5571219
131,2064863
132,10340041
133,4057406
134,8581436
135,6404480
136,5159210
137,259209
138,6596924
139,3104605
140,232858
141,1532251
142,6903320
143,6564941
144,1831283
145,6612440
146,5248426
147,1811681
148,5203015
149,13989324
150,37770
151,10733302
152,103160
154,1872060
155,7274254
156,3988295
157,26794
158,311669
159,136840
160,8345996
161,4910451
162,208914
163,2395630
164,53155
165,1814095
166,4063252
167,393584
168,6015689
169,352063
170,74713
171,8889074
172,10644555
173,5626668
174,6829708
175,3692329
176,8730822
177,8895996
178,10207554
179,2145707
180,10311394
181,5178398
182,6795250
183,7481330
184,10491171
185,3692221
186,10390405
187,4249887
188,3861899
189,5565600
190,10047913
191,2918897
192,3672670
193,3079481
194,5081122
195,10086846
196,10272356
197,6587828
198,3079279
199,10214500
200,6559964
201,5158168
202,10507221
203,8305722
204,6647090
205,7736479
206,5435412
207,10534156
208,10027203
209,5083109
210,1476378
211,7994044
212,10252045
213,5115434
214,10580700
215,49875
216,10519416
217,8760870
218,4943120
219,5532418
220,5097541
221,3144690
